datetime,FR_price,UK_price
2025-01-01 00:00:00,18.92,77.221
2025-01-01 01:00:00,16.66,70.001
2025-01-01 02:00:00,13.1,74.074
2025-01-01 03:00:00,5.9,78.937
2025-01-01 04:00:00,9.27,62.961
2025-01-01 05:00:00,10.04,61.395
2025-01-01 06:00:00,7.23,74.794
2025-01-01 07:00:00,12.83,67.727
2025-01-01 08:00:00,13.76,57.832
2025-01-01 09:00:00,17.95,66.501
2025-01-01 10:00:00,20.59,59.561
2025-01-01 11:00:00,28.11,61.109
2025-01-01 12:00:00,30.0,68.689
2025-01-01 13:00:00,21.5,53.586
2025-01-01 14:00:00,10.68,57.308
2025-01-01 15:00:00,20.18,68.749
2025-01-01 16:00:00,35.72,67.063
2025-01-01 17:00:00,48.06,79.246
2025-01-01 18:00:00,50.14,70.575
2025-01-01 19:00:00,41.5,67.114
2025-01-01 20:00:00,34.93,90.138
2025-01-01 21:00:00,34.69,76.033
2025-01-01 22:00:00,28.04,77.272
2025-01-01 23:00:00,39.84,63.768
2025-01-02 00:00:00,44.1,68.892
2025-01-02 01:00:00,44.7,71.995
2025-01-02 02:00:00,42.92,59.684
2025-01-02 03:00:00,40.15,69.758
2025-01-02 04:00:00,52.51,60.029
2025-01-02 05:00:00,93.3,60.935
2025-01-02 06:00:00,120.03,57.347
2025-01-02 07:00:00,135.52,76.406
2025-01-02 08:00:00,136.48,61.479
2025-01-02 09:00:00,129.04,53.699
2025-01-02 10:00:00,125.7,69.849
2025-01-02 11:00:00,125.72,55.068
2025-01-02 12:00:00,119.3,68.424
2025-01-02 13:00:00,124.65,53.215
2025-01-02 14:00:00,130.11,60.482
2025-01-02 15:00:00,139.5,74.822
2025-01-02 16:00:00,153.4,81.073
2025-01-02 17:00:00,153.15,78.103
2025-01-02 18:00:00,146.66,76.914
2025-01-02 19:00:00,130.6,76.004
2025-01-02 20:00:00,120.62,66.585
2025-01-02 21:00:00,117.89,72.081
2025-01-02 22:00:00,118.56,73.047
2025-01-02 23:00:00,103.88,83.622
2025-01-03 00:00:00,95.18,75.996
2025-01-03 01:00:00,89.94,57.003
2025-01-03 02:00:00,87.67,71.485
2025-01-03 03:00:00,84.06,63.672
2025-01-03 04:00:00,92.25,59.419
2025-01-03 05:00:00,100.14,68.162
2025-01-03 06:00:00,119.27,70.409
2025-01-03 07:00:00,127.28,69.038
2025-01-03 08:00:00,132.97,54.874
2025-01-03 09:00:00,130.52,59.687
2025-01-03 10:00:00,123.2,65.918
2025-01-03 11:00:00,113.51,72.639
2025-01-03 12:00:00,107.6,62.919
2025-01-03 13:00:00,105.88,67.407
2025-01-03 14:00:00,110.22,62.257
2025-01-03 15:00:00,123.2,63.678
2025-01-03 16:00:00,141.2,81.666
2025-01-03 17:00:00,144.48,87.582
2025-01-03 18:00:00,141.43,77.263
2025-01-03 19:00:00,133.2,86.441
2025-01-03 20:00:00,119.9,81.306
2025-01-03 21:00:00,123.58,72.678
2025-01-03 22:00:00,126.09,79.623
2025-01-03 23:00:00,109.06,87.47
2025-01-04 00:00:00,101.0,69.961
2025-01-04 01:00:00,95.53,80.625
2025-01-04 02:00:00,94.33,44.934
2025-01-04 03:00:00,96.62,70.328
2025-01-04 04:00:00,102.63,62.531
2025-01-04 05:00:00,110.89,57.876
2025-01-04 06:00:00,120.25,59.895
2025-01-04 07:00:00,128.39,42.687
2025-01-04 08:00:00,130.75,56.83
2025-01-04 09:00:00,130.34,62.018
2025-01-04 10:00:00,128.29,72.091
2025-01-04 11:00:00,130.03,57.688
2025-01-04 12:00:00,129.85,57.285
2025-01-04 13:00:00,136.4,61.878
2025-01-04 14:00:00,138.89,75.431
2025-01-04 15:00:00,133.52,72.877
2025-01-04 16:00:00,136.78,67.927
2025-01-04 17:00:00,145.0,77.838
2025-01-04 18:00:00,139.73,75.616
2025-01-04 19:00:00,130.49,83.162
2025-01-04 20:00:00,123.82,69.796
2025-01-04 21:00:00,119.23,72.218
2025-01-04 22:00:00,109.9,70.595
2025-01-04 23:00:00,101.77,60.457
2025-01-05 00:00:00,70.5,72.616
2025-01-05 01:00:00,64.81,70.196
2025-01-05 02:00:00,46.7,65.933
2025-01-05 03:00:00,43.87,61.876
2025-01-05 04:00:00,36.61,50.512
2025-01-05 05:00:00,34.04,56.903
2025-01-05 06:00:00,44.0,56.419
2025-01-05 07:00:00,51.27,52.169
2025-01-05 08:00:00,50.0,57.297
2025-01-05 09:00:00,49.81,62.393
2025-01-05 10:00:00,43.05,75.358
2025-01-05 11:00:00,45.74,63.231
2025-01-05 12:00:00,35.19,65.813
2025-01-05 13:00:00,30.0,65.297
2025-01-05 14:00:00,28.0,52.757
2025-01-05 15:00:00,35.22,70.035
2025-01-05 16:00:00,57.72,72.647
2025-01-05 17:00:00,64.81,93.438
2025-01-05 18:00:00,59.06,73.3
2025-01-05 19:00:00,50.97,77.825
2025-01-05 20:00:00,48.89,75.135
2025-01-05 21:00:00,38.22,65.49
2025-01-05 22:00:00,20.55,82.874
2025-01-05 23:00:00,13.28,78.181
2025-01-06 00:00:00,8.35,79.575
2025-01-06 01:00:00,5.23,63.832
2025-01-06 02:00:00,3.52,80.115
2025-01-06 04:00:00,5.61,69.529
2025-01-06 05:00:00,11.27,80.792
2025-01-06 06:00:00,37.0,54.236
2025-01-06 07:00:00,58.15,57.057
2025-01-06 08:00:00,51.15,62.385
2025-01-06 09:00:00,40.81,58.133
2025-01-06 10:00:00,32.83,50.863
2025-01-06 11:00:00,31.28,65.383
2025-01-06 12:00:00,28.6,58.254
2025-01-06 13:00:00,26.95,72.681
2025-01-06 14:00:00,26.32,63.752
2025-01-06 15:00:00,38.49,85.647
2025-01-06 16:00:00,67.5,68.899
2025-01-06 17:00:00,88.34,74.155
2025-01-06 18:00:00,79.66,84.348
2025-01-06 19:00:00,67.18,68.566
2025-01-06 20:00:00,48.79,80.232
2025-01-06 21:00:00,48.02,88.297
2025-01-06 22:00:00,28.8,63.872
2025-01-06 23:00:00,20.88,76.643
2025-01-07 00:00:00,6.66,75.326
2025-01-07 01:00:00,12.54,77.362
2025-01-07 02:00:00,5.59,58.997
2025-01-07 03:00:00,0.4,56.189
2025-01-07 04:00:00,12.49,69.01
2025-01-07 05:00:00,60.01,65.644
2025-01-07 06:00:00,97.56,64.165
2025-01-07 07:00:00,115.0,64.359
2025-01-07 08:00:00,105.18,56.147
2025-01-07 09:00:00,93.49,64.019
2025-01-07 10:00:00,74.93,65.613
2025-01-07 11:00:00,71.25,59.12
2025-01-07 12:00:00,73.12,81.679
2025-01-07 13:00:00,79.76,72.683
2025-01-07 14:00:00,85.0,61.577
2025-01-07 15:00:00,100.64,78.5
2025-01-07 16:00:00,118.34,67.368
2025-01-07 17:00:00,128.87,83.029
2025-01-07 18:00:00,125.0,87.108
2025-01-07 19:00:00,107.24,71.847
2025-01-07 20:00:00,100.55,86.12
2025-01-07 21:00:00,98.53,81.142
2025-01-07 22:00:00,89.27,83.308
2025-01-07 23:00:00,74.23,90.34
2025-01-08 00:00:00,69.5,71.284
2025-01-08 01:00:00,59.97,65.078
2025-01-08 02:00:00,53.0,61.776
2025-01-08 03:00:00,59.52,60.226
2025-01-08 04:00:00,70.2,64.218
2025-01-08 05:00:00,97.41,65.997
2025-01-08 06:00:00,124.39,64.374
2025-01-08 07:00:00,135.01,68.205
2025-01-08 08:00:00,131.32,61.691
2025-01-08 09:00:00,125.04,73.789
2025-01-08 10:00:00,104.46,61.151
2025-01-08 11:00:00,97.57,86.596
2025-01-08 12:00:00,100.21,71.758
2025-01-08 13:00:00,110.19,62.035
2025-01-08 14:00:00,126.62,62.54
2025-01-08 15:00:00,124.05,77.107
2025-01-08 16:00:00,124.58,73.378
2025-01-08 17:00:00,137.58,82.444
2025-01-08 18:00:00,131.0,81.625
2025-01-08 19:00:00,124.81,77.83
2025-01-08 20:00:00,112.66,71.638
2025-01-08 21:00:00,111.9,65.721
2025-01-08 22:00:00,98.77,73.16
2025-01-08 23:00:00,60.38,82.017
2025-01-09 00:00:00,49.9,74.96
2025-01-09 01:00:00,51.86,61.142
2025-01-09 02:00:00,25.61,70.278
2025-01-09 03:00:00,13.01,69.835
2025-01-09 04:00:00,30.29,57.764
2025-01-09 05:00:00,60.08,64.498
2025-01-09 06:00:00,90.79,62.626
2025-01-09 07:00:00,100.99,52.444
2025-01-09 08:00:00,102.44,64.45
2025-01-09 09:00:00,97.45,66.647
2025-01-09 10:00:00,90.41,71.933
2025-01-09 11:00:00,94.75,73.265
2025-01-09 12:00:00,84.19,55.731
2025-01-09 13:00:00,80.89,61.39
2025-01-09 14:00:00,88.11,75.228
2025-01-09 15:00:00,109.4,77.357
2025-01-09 16:00:00,131.62,79.286
2025-01-09 17:00:00,135.73,107.554
2025-01-09 18:00:00,135.01,82.407
2025-01-09 19:00:00,120.36,87.497
2025-01-09 20:00:00,105.8,86.045
2025-01-09 21:00:00,101.43,83.051
2025-01-09 22:00:00,94.26,74.21
2025-01-09 23:00:00,86.82,81.237
2025-01-10 00:00:00,80.25,67.065
2025-01-10 01:00:00,72.09,69.213
2025-01-10 02:00:00,69.94,65.01
2025-01-10 03:00:00,70.07,67.408
2025-01-10 04:00:00,85.06,83.352
2025-01-10 05:00:00,101.8,48.33
2025-01-10 06:00:00,126.12,67.651
2025-01-10 07:00:00,140.33,48.686
2025-01-10 08:00:00,137.22,57.812
2025-01-10 09:00:00,123.57,70.872
2025-01-10 10:00:00,113.59,63.782
2025-01-10 11:00:00,107.43,56.213
2025-01-10 12:00:00,105.01,61.03
2025-01-10 13:00:00,110.01,74.329
2025-01-10 14:00:00,128.69,65.265
2025-01-10 15:00:00,135.57,74.979
2025-01-10 16:00:00,142.72,75.53
2025-01-10 17:00:00,144.28,71.519
2025-01-10 18:00:00,141.27,94.991
2025-01-10 19:00:00,134.83,83.484
2025-01-10 20:00:00,122.51,62.212
2025-01-10 21:00:00,119.79,79.331
2025-01-10 22:00:00,112.0,71.438
2025-01-10 23:00:00,112.0,81.985
2025-01-11 00:00:00,100.61,63.907
2025-01-11 01:00:00,96.32,67.19
2025-01-11 02:00:00,92.02,69.932
2025-01-11 03:00:00,90.82,70.679
2025-01-11 04:00:00,92.16,52.232
2025-01-11 05:00:00,95.46,57.592
2025-01-11 06:00:00,104.07,55.361
2025-01-11 07:00:00,115.85,53.361
2025-01-11 08:00:00,118.19,72.711
2025-01-11 09:00:00,114.24,62.4
2025-01-11 10:00:00,100.58,50.181
2025-01-11 11:00:00,97.14,69.177
2025-01-11 12:00:00,93.15,80.73
2025-01-11 13:00:00,95.74,74.152
2025-01-11 14:00:00,105.05,55.953
2025-01-11 15:00:00,113.29,66.373
2025-01-11 16:00:00,120.97,82.301
2025-01-11 17:00:00,123.86,68.07
2025-01-11 18:00:00,123.55,78.39
2025-01-11 19:00:00,119.95,81.61
2025-01-11 20:00:00,116.2,67.997
2025-01-11 21:00:00,113.27,74.363
2025-01-11 22:00:00,106.1,47.802
2025-01-11 23:00:00,110.36,63.97
2025-01-12 00:00:00,97.57,68.227
2025-01-12 01:00:00,90.0,58.125
2025-01-12 02:00:00,85.91,78.952
2025-01-12 03:00:00,85.0,52.312
2025-01-12 04:00:00,85.7,58.314
2025-01-12 05:00:00,90.13,61.314
2025-01-12 06:00:00,101.75,70.691
2025-01-12 07:00:00,114.97,47.1
2025-01-12 08:00:00,120.07,67.893
2025-01-12 09:00:00,117.77,59.242
2025-01-12 10:00:00,105.61,52.416
2025-01-12 11:00:00,102.99,65.531
2025-01-12 12:00:00,99.61,65.345
2025-01-12 13:00:00,95.4,61.091
2025-01-12 14:00:00,101.24,68.666
2025-01-12 15:00:00,109.56,67.165
2025-01-12 16:00:00,120.61,73.074
2025-01-12 17:00:00,146.66,79.029
2025-01-12 18:00:00,138.07,87.528
2025-01-12 19:00:00,124.0,65.51
2025-01-12 20:00:00,123.67,92.477
2025-01-12 21:00:00,116.73,59.223
2025-01-12 22:00:00,114.9,72.518
2025-01-12 23:00:00,112.39,76.872
2025-01-13 00:00:00,105.07,75.495
2025-01-13 01:00:00,104.46,66.126
2025-01-13 02:00:00,100.37,67.227
2025-01-13 03:00:00,100.0,62.809
2025-01-13 04:00:00,109.13,60.12
2025-01-13 05:00:00,127.14,70.065
2025-01-13 06:00:00,150.16,65.017
2025-01-13 07:00:00,186.0,56.044
2025-01-13 08:00:00,146.5,68.784
2025-01-13 09:00:00,128.38,64.619
2025-01-13 10:00:00,116.13,69.771
2025-01-13 11:00:00,105.69,69.872
2025-01-13 12:00:00,100.81,60.121
2025-01-13 13:00:00,104.91,64.411
2025-01-13 14:00:00,112.59,77.086
2025-01-13 15:00:00,126.64,78.13
2025-01-13 16:00:00,148.7,74.998
2025-01-13 17:00:00,157.07,77.67
2025-01-13 18:00:00,158.39,88.061
2025-01-13 19:00:00,141.32,73.68
2025-01-13 20:00:00,122.59,82.789
2025-01-13 21:00:00,121.41,76.222
2025-01-13 22:00:00,120.1,74.99
2025-01-13 23:00:00,122.19,83.956
2025-01-14 00:00:00,117.67,79.851
2025-01-14 01:00:00,114.53,77.616
2025-01-14 02:00:00,112.2,79.336
2025-01-14 04:00:00,114.34,70.29
2025-01-14 05:00:00,138.52,60.786
2025-01-14 06:00:00,161.02,64.754
2025-01-14 07:00:00,186.54,60.546
2025-01-14 08:00:00,152.47,62.363
2025-01-14 09:00:00,133.76,66.922
2025-01-14 10:00:00,114.53,56.722
2025-01-14 11:00:00,112.37,81.574
2025-01-14 12:00:00,111.63,58.705
2025-01-14 13:00:00,116.44,59.179
2025-01-14 14:00:00,129.11,80.372
2025-01-14 15:00:00,145.13,79.58
2025-01-14 16:00:00,169.66,80.158
2025-01-14 17:00:00,188.31,81.759
2025-01-14 18:00:00,189.54,77.741
2025-01-14 19:00:00,154.0,71.235
